gbm_id,name,nfolds,max_depth,min_rows,distribution,stopping_metric,stopping_tolerance,seed,sample_rate
1,GBM_grid_1_AutoML_20190418_142243_model_3,5,6,6,gaussian,deviance,0.008312003,-7.92E+18,0.6
2,GBM_1_AutoML_20190418_144229,5,15,15,gaussian,deviance,0.008312003,3.08E+18,0.8
3,GBM_grid_1_AutoML_20190418_142243_model_2,5,10,10,gaussian,deviance,0.008312003,3.07E+18,0.7
4,GBM_grid_1_AutoML_20190418_140346_model_3,5,4,4,gaussian,deviance,0.008312003,-5.29E+18,0.5
5,GBM_3_AutoML_20190418_140346,5,15,15,gaussian,deviance,0.008312003,-7.17E+18,0.8
6,GBM_5_AutoML_20190418_150256,5,15,15,gaussian,deviance,0.008312003,-5.05E+18,0.8
7,GBM_grid_1_AutoML_20190418_144229_model_4,5,12,12,gaussian,deviance,0.008312003,3.42E+18,0.6
8,GBM_2_AutoML_20190418_140346,5,15,15,gaussian,deviance,0.008312003,-7.17E+18,0.8
9,GBM_2_AutoML_20190418_144229,5,15,15,gaussian,deviance,0.008312003,3.08E+18,0.8
10,GBM_4_AutoML_20190418_142243,5,15,15,gaussian,deviance,0.008312003,3.67E+18,0.8
11,GBM_grid_1_AutoML_20190418_144229_model_3,5,7,7,gaussian,deviance,0.008312003,-7.18E+18,0.9
12,GBM_grid_1_AutoML_20190418_142243_model_1,5,3,3,gaussian,deviance,0.008312003,-5.38E+18,1
13,GBM_1_AutoML_20190418_140346,5,15,15,gaussian,deviance,0.008312003,-7.17E+18,0.8
14,GBM_grid_1_AutoML_20190418_140346_model_2,5,8,8,gaussian,deviance,0.008312003,-1.59E+18,0.7
15,GBM_grid_1_AutoML_20190418_144229_model_1,5,8,8,gaussian,deviance,0.008312003,8.93E+18,0.6
16,GBM_5_AutoML_20190418_142243,5,15,15,gaussian,deviance,0.008312003,3.67E+18,0.8
17,GBM_grid_1_AutoML_20190418_150256_model_5,5,10,10,gaussian,deviance,0.008312003,-8.30E+18,0.9
18,GBM_3_AutoML_20190418_144229,5,15,15,gaussian,deviance,0.008312003,3.08E+18,0.8
19,GBM_grid_1_AutoML_20190418_150256_model_2,5,5,5,gaussian,deviance,0.008312003,1.61E+18,1
20,GBM_4_AutoML_20190418_150256,5,15,15,gaussian,deviance,0.008312003,-5.05E+18,0.8
21,GBM_4_AutoML_20190418_140346,5,15,15,gaussian,deviance,0.008312003,-7.17E+18,0.8
22,GBM_grid_1_AutoML_20190418_140346_model_4,5,12,12,gaussian,deviance,0.008312003,9.39E+17,1
23,GBM_1_AutoML_20190418_142243,5,15,15,gaussian,deviance,0.008312003,3.67E+18,0.8
24,GBM_5_AutoML_20190418_140346,5,15,15,gaussian,deviance,0.008312003,-7.17E+18,0.8
25,GBM_grid_1_AutoML_20190418_150256_model_7,5,10,10,gaussian,deviance,0.008312003,5.28E+18,1
26,GBM_2_AutoML_20190418_142243,5,15,15,gaussian,deviance,0.008312003,3.67E+18,0.8
27,GBM_grid_1_AutoML_20190418_140346_model_1,5,16,16,gaussian,deviance,0.008312003,-4.67E+17,0.6
28,GBM_3_AutoML_20190418_142243,5,15,15,gaussian,deviance,0.008312003,3.67E+18,0.8
29,GBM_grid_1_AutoML_20190418_144229_model_2,5,8,8,gaussian,deviance,0.008312003,-5.59E+18,0.6
30,GBM_4_AutoML_20190418_144229,5,15,15,gaussian,deviance,0.008312003,3.08E+18,0.8
31,GBM_5_AutoML_20190418_144229,5,15,15,gaussian,deviance,0.008312003,3.08E+18,0.8
32,GBM_grid_1_AutoML_20190418_150256_model_4,5,6,6,gaussian,deviance,0.008312003,-8.77E+18,0.7
33,GBM_grid_1_AutoML_20190418_144229_model_5,5,13,13,gaussian,deviance,0.008312003,-9.00E+18,1
34,GBM_grid_1_AutoML_20190418_150256_model_1,5,10,10,gaussian,deviance,0.008312003,6.49E+18,0.6
35,GBM_2_AutoML_20190418_150256,5,15,15,gaussian,deviance,0.008312003,-5.05E+18,0.8
36,GBM_1_AutoML_20190418_150256,5,15,15,gaussian,deviance,0.008312003,-5.05E+18,0.8
37,GBM_grid_1_AutoML_20190418_150256_model_6,5,11,11,gaussian,deviance,0.008312003,1.31E+18,1
38,GBM_grid_1_AutoML_20190418_150256_model_3,5,11,11,gaussian,deviance,0.008312003,6.70E+17,0.6
39,GBM_3_AutoML_20190418_150256,5,15,15,gaussian,deviance,0.008312003,-5.05E+18,0.8